"Deal_ID","AI_CAP","CULT","STRUCT","DYN","OUT"
17,0.139588649081522,0.67,0.95,0.572742274536211,0.906456959811532
26,0.253014123180532,0.67,0.95,0.763037048332218,0.21481809638449
24,0.139588649081522,0.67,0.95,0.763037048332218,0.998795859537836
179,0.274528096023836,0.33,0.95,0.0275577697985054,0.911552265713823
173,0.0280936845888524,0.33,0.67,0.0275577697985054,0.00315925439858072
74,0.0280936845888524,0.67,0.67,0.170022594282778,0.328635469717342
83,0.0447183465904244,0.67,0.67,0.170022594282778,0.352355432488158
122,0.293760421787614,0.67,0.67,0.63019863364877,0.166205594345975
102,0.897246326288302,0.33,0.95,0.170022594282778,0.309226580579485
153,0.897246326288302,0.67,0.67,0.161668469323014,0.32796935652556
12,0.139588649081522,0.67,0.95,0.74966724960772,0.0416421915176834
30,0.176203089857126,0.67,0.95,0.763037048332218,0.497448798203809
111,0.931605327842391,0.67,0.67,0.170022594282778,0.149080280010174
121,0.219100865663306,0.67,0.95,0.63019863364877,0.0453808346600955
70,0.924184529863487,0.33,0.95,0.170022594282778,0.190770220262694
169,0.924184529863487,0.33,0.67,0.0275577697985054,0.209192455344876
187,0.106522995051663,0.33,0.95,0.0275577697985054,0.50126384410767
154,0.678157406719677,0.67,0.67,0.161668469323014,0.910285385576643
97,0.140361147314547,0.67,0.67,0.170022594282778,0.0047886268042294
29,0.944702833158478,0.67,0.95,0.763037048332218,0.0578537084926452
45,1,0.67,0.95,0.991588530585539,0.973683390769641
62,0.293099986485898,0.67,0.95,0.170022594282778,0.339280509631292
73,0.0528818126605732,0.33,0.95,0.170022594282778,0.642987592514569
163,0.769483428274887,0.33,0.95,0.161668469323014,0.565110558299375
147,0.1253802785412,0.33,0.95,0.161668469323014,0.167388396604433
6,0.944702833158478,0.67,0.67,0.74966724960772,0.542214725138664
177,0.0233437620197514,0.33,0.95,0.0275577697985054,0.493107029648527
101,0.855117800165645,0.67,0.67,0.170022594282778,0.548314244999311
184,0.855117800165645,0.67,0.67,0.0275577697985054,0.650018220466166
126,0.855117800165645,0.67,0.67,0.161668469323014,0.639999864056135
140,0.855117800165645,0.33,0.95,0.161668469323014,0.639999864056135
21,0.213904362401995,0.67,0.95,0.763037048332218,0.729879265450377
185,0.386979342338292,0.67,0.95,0.0275577697985054,0.660529511490249
19,0.823624154618529,0.33,0.33,0.928195125737118,0.00331551087267885
114,0.870409776442586,0.33,0.95,0.170022594282778,0.856679384773014
176,0.64960106127991,0.33,0.95,0.0275577697985054,0.0353722470621702
156,0.368446930710749,0.33,0.95,0.161668469323014,0.175189291276845
22,0.195303337808033,0.67,0.95,0.763037048332218,0.763412710715617
82,0.751327366809946,0.33,0.95,0.170022594282778,0.645173321073349
57,0.944702833158478,0.67,0.95,0.991704127807205,0.297465744121438
104,0.347865112483415,0.67,0.67,0.170022594282778,0.815233643880813
59,0.286554595013569,0.67,0.95,0.991704127807205,0.188511945950156
105,0.78193198619708,0.67,0.67,0.170022594282778,0.97306829585619
14,0.624740602467674,0.67,0.95,0.572742274536211,0.604468617403471
192,0.910539865401905,0.33,0.95,0.0275577697985054,0.750896521417667
72,0.965078313262054,0.67,0.33,0.170022594282778,0.0709568827305838
155,0.0489425584424197,0.67,0.95,0.161668469323014,0.088990613973192
86,0.144830204644864,0.67,0.67,0.170022594282778,0.341640727578913
171,0.144830204644864,0.67,0.67,0.0275577697985054,0.616240696770004
54,0.139588649081522,0.67,0.95,0.957494486335676,0.90615242399325
3,0.149203763660527,0.33,0.95,0.572742274536211,0.213807719966714
46,0.148815457194663,0.33,0.95,0.775420590003946,0.00216382025750154
55,0.147211412193757,0.67,0.67,0.957494486335676,0.59076474549976
11,0.147211412193757,0.67,0.95,0.74966724960772,0.0109728485800523
43,0.624740602467674,0.67,0.33,0.763037048332218,0.339262208881196
50,0.67171400992864,0.33,0.95,0.926692720326234,0.736363180844244
69,0.967496394133374,0.67,0.67,0.170022594282778,0.600809277048092
188,0.328250489816306,0.67,0.95,0.0275577697985054,0.575001309230037
151,0.997462559286354,0.33,0.95,0.161668469323014,1
78,0.929200768617604,0.67,0.67,0.170022594282778,0.121423876276474
58,0.624740602467674,0.33,0.95,0.991704127807205,0.443820455063229
40,0.624740602467674,0.67,0.67,0.775420590003946,0.0437993826179789
32,0.139588649081522,0.33,0.95,0.763037048332218,0.528027268407839
137,0.944374745886524,0.33,0.67,0.161668469323014,0.286692725558414
75,0.174926447584575,0.67,0.67,0.170022594282778,0.784079312796566
35,0.624740602467674,0.67,0.67,0.991588530585539,0.0960244659434609
181,0.534223151190344,0.67,0.95,0.0275577697985054,0.189902113595369
125,0.871997265495542,0.67,0.95,0.161668469323014,0.248692392273513
107,0.0535822738258372,0.33,0.95,0.170022594282778,0.982854116982148
31,0.145109578184219,0.67,0.95,0.763037048332218,0.918568714056077
65,0.288690190912648,0.33,0.95,0.170022594282778,0.0513619061515688
18,0.139588649081522,0.33,0.95,0.572742274536211,0.811594149170947
96,0.207339686813329,0.33,0.95,0.170022594282778,0.107703770657078
53,0.944702833158478,0.67,0.67,0.957494486335676,0.313748111315369
174,0.995556199098823,0.67,0.67,0.0275577697985054,0.818707392120178
194,0.517011146978052,0.33,0.95,0.0275577697985054,0.530872712349399
186,0.839050125168788,0.67,0.67,0.0275577697985054,0.056173862973607
127,0.279126320546938,0.67,0.67,0.161668469323014,0.913337981627786
68,0.0729779630733556,0.67,0.67,0.170022594282778,0.488628604859923
33,0.139588649081522,0.67,0.95,0.763037048332218,0.748171029584266
94,0.048245492094586,0.67,0.67,0.170022594282778,0.00180346822052024
41,0.624740602467674,0.67,0.95,0.763037048332218,0.724332327426076
27,0.146547293611097,0.67,0.95,0.763037048332218,0.807125262411642
180,0.253237456321404,0.67,0.67,0.0275577697985054,0.230808945351951
166,0.337407607464156,0.67,0.95,0.161668469323014,0.508388851035114
23,0.142628973580144,0.67,0.95,0.763037048332218,0.693984589902911
164,0.591830356157726,0.67,0.67,0.161668469323014,0.808379984969146
167,0.990837623530853,0.67,0.67,0.161668469323014,0.571668333311326
146,0.723864028661517,0.67,0.95,0.161668469323014,0.0505398246263776
