"Deal_ID","AI_CAP","CULT","STRUCT","SIZE","DYN","OUT"
120,0.0179233170973626,0.67,0.33,0.0647209111564389,0.461062581948536,0.00497508482167892
112,0.756451993295336,0.67,0.67,0.103989292944517,0.461062581948536,0.99814941569047
34,0.934678898022318,0.67,0.67,0.05009285188102,0.481800382447473,0.155528891340029
87,0.0432525608691795,0.33,0.95,1,0.461062581948536,0.204496652045178
42,0.871486075606062,0.67,0.95,0.520548431107348,1,0.36522318853312
47,0.991040714565382,0.67,0.95,1,1,0.21276213035027
61,0.89799369014036,0.67,0.95,0.995409067000979,0.461062581948536,0.976225124616436
159,0.968129004041658,0.33,0.67,0.0497224217495954,0.944778205177169,0.0217038113346343
109,0.818286555417684,0.67,0.95,0.608794744479851,0.461062581948536,1
128,0.418337292869346,0.67,0.67,0.988235586153843,0.944778205177169,0.999250361245292
170,0.021667868615842,0.67,0.67,0.915985731126268,0.0500000000000001,0.987058323623432
60,0.994752853182388,0.67,0.67,0.0129012428271611,1,0.0475177457805862
28,0.736087698041927,0.67,0.95,0.0441992753324428,1,0.999290815248661
110,0.0114668959491815,0.33,0.95,1,0.461062581948536,0.99894335940407
157,0.986116749401299,0.67,0.67,0.795801977446309,0.944778205177169,0.962519884214286
16,0.0469671261767974,0.33,0.95,0.948476915967346,0.999749452151132,0.984061718143803
71,0.808758193717004,0.67,0.95,0.496891818002306,0.461062581948536,0.043857959941303
160,0.517183701524059,0.33,0.95,0.528956528468612,0.944778205177169,0.470878299791771
129,0.717193915167938,0.33,0.67,0.110914185346236,0.944778205177169,0.00334722257954679
25,0.0658215871828283,0.67,0.95,0.524459071310938,1,1
134,0.0388862034081193,0.33,0.95,0.979794186747976,0.944778205177169,0.0260567749522765
106,0.92455444469666,0.67,0.67,0.105345224209022,0.461062581948536,0.0542531360560041
17,0.0469671261767974,0.67,0.95,0.961410070454127,0.999749452151132,0.996158790941373
26,0.147684427677469,0.67,0.95,0.999361722701439,1,0.0693760640030213
24,0.0469671261767974,0.67,0.95,0.98623327661646,1,1
179,0.173134889578526,0.33,0.95,0.147227395909446,0.0500000000000001,0.996693107260041
173,0.00258196779317846,0.33,0.67,0.112025273209355,0.0500000000000001,0
74,0.00258196779317846,0.67,0.67,0.232039228355202,0.461062581948536,0.194392236745453
83,0.00586323171886933,0.67,0.67,0.972779937644011,0.461062581948536,0.229986943176445
122,0.197495124399805,0.67,0.67,0.627398186166012,0.497398928959457,0.0378472434927853
102,0.982513612957965,0.33,0.95,0.735941169982413,0.461062581948536,0.167678673846666
153,0.982513612957965,0.67,0.67,0.142192808002798,0.944778205177169,0.193438921977279
12,0.0469671261767974,0.67,0.95,0.536191206359407,0.941016050185202,0.00181237755936651
30,0.0732332894883347,0.67,0.95,0.947543057129405,1,0.499
111,0.992110745661129,0.67,0.67,0.0138427716776553,0.461062581948536,0.0294201231529505
121,0.111597187215611,0.67,0.95,0.0218456603022689,0.497398928959457,0.00217224074004286
70,0.99036998635863,0.33,0.95,0.0177919103432984,0.461062581948536,0.0523057265484723
169,0.99036998635863,0.33,0.67,0.0281733541265985,0.0500000000000001,0.0651126838497206
