ticker,company,country,isin,rd_int_Y0,rd_int_Y1,AIS_a_raw,status,AIS_a_z
MITK,Mitek Systems Inc.,US,US6067102003,0.20850252755448745,0.1679957346191293,0.18824913108680838,computed,0.4397242893987021
MORN,Morningstar Inc.,US,US6177001095,0.0,0.0,0.0,computed,-1.1899315199948666
MSCI,Msci Inc.,US,US55354G1004,0.052244040934470055,0.05554828074932215,0.05389616084189611,computed,-0.7233572993706894
MSFT,Microsoft Corporation,US,US5949181045,0.12324496692208843,0.12362939426035205,0.12343718059122025,computed,-0.12134694122789712
NDAQ,Nasdaq Inc.,US,US6311031081,0.0,0.0,0.0,computed,-1.1899315199948666
NOW,Servicenow Inc.,US,US81762P1021,0.23694029850746268,0.24403036576949622,0.24048533213847945,computed,0.8919283873036804
NSIT,Insight Enterprises Inc.,US,US45765U1034,,,,AIS-b only (no R&D line reported),
NTAP,Netapp Inc.,US,US64110D1046,0.13944286166508388,0.15026721156868908,0.14485503661688648,computed,0.06406551350947252
PAR,Par Technology Corporation,US,US6988841036,0.1222408405096226,0.13671636757121375,0.12947860404041817,computed,-0.06904688138617686
PCOR,Procore Technologies Inc.,US,US74275K1088,0.4609174839410202,0.37625780509106466,0.41858764451604247,computed,2.43374409905154
PRGS,Progress Software Corporation,US,US7433121008,0.1906589347660486,0.19423978211038095,0.19244935843821476,computed,0.47608528009478523
PTC,Ptc Inc.,US,US69370C1009,0.16596049379163647,0.17525151977373954,0.170606006782688,computed,0.2869893479300801
ROK,Rockwell Automation Inc.,US,US7739031091,0.060379569554405925,0.056814081748363485,0.0585968256513847,computed,-0.6826640665755671
ROP,Roper Technologies Inc.,US,US7766961061,0.1045841561721001,0.10627628139561314,0.10543021878385661,computed,-0.2772315912631006
S,Sentinelone Inc.,US,US81730H1095,0.6654036396662093,0.49033229980648024,0.5778679697363448,computed,3.812619559558525
SPGI,S&P Global Inc.,US,US78409V1044,,,,AIS-b only (no R&D line reported),
SWKS,Skyworks Solutions Inc.,US,US83088M1027,0.10418664735472,0.11264242092790082,0.10841453414131041,computed,-0.2513966414215826
SYNA,Synaptics Inc.,US,US87157D1090,0.2339504329650642,0.2111283554635857,0.22253939421432495,computed,0.736572015541048
TEAM,Atlassian Corporation,US,US0494681010,0.5290149200188874,0.5011034498897926,0.51505918495434,computed,3.268889554484854
TENB,Tenable Holdings Inc.,US,US88025T1025,0.1917629677855542,0.20179973578394284,0.19678135178474854,computed,0.5135869571685434
TRMB,Trimble Inc.,US,US8962391004,0.1748756153420907,0.179811582005267,0.17734359867367885,computed,0.34531607540598536
TTWO,Take Two Interactive Software Inc.,US,US8740541094,0.11600262497146768,0.16682554814108677,0.14141408655627724,computed,0.034277518081652206
TYL,Tyler Technologies Inc.,US,US9022521051,0.05870863732480388,0.056849947357156295,0.05777929234098009,computed,-0.6897413789699561
UPBD,Upbound Group Inc.,US,US76009N1000,0.0,0.0,0.0,computed,-1.1899315199948666
VOYA,Voya Financial Inc.,US,US9290891004,,,,AIS-b only (no R&D line reported),
VRSK,Verisk Analytics Inc.,US,US92345Y1064,0.017260712855426512,0.013724173938987094,0.015492443397206804,computed,-1.0558148298502694
WK,Workiva Inc.,US,US98139A1051,0.2820655356727864,0.2742528637116115,0.27815919969219893,computed,1.2180676728705881
ZBRA,Zebra Technologies Corporation,US,US9892071054,0.09859885832900882,0.11321989528795812,0.10590937680848347,computed,-0.27308356330704786
